Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Position_Value,PnL,Return,Exit_Reason,Hold_Days,ATR_Pct,Return_10D
NVDA,2022-12-02,2022-12-05,16.622066938764753,16.573179244995117,131.04076677261915,2178.1683970015356,-6.406280877318109,-0.002941132047520778,TIME,3,0.0408854388764779,0.0772712405821098
DIS,2022-12-05,2022-12-05,95.24988918387142,93.34489140019399,22.858083687161155,2177.229938157759,-43.54459876315523,-0.020000000000000018,SL,0,0.0327725095684281,0.0872609708973779
META,2022-12-05,2022-12-06,120.6901616767344,118.27635844319971,18.083533837281955,2182.5046225082565,-43.650092450165225,-0.020000000000000018,SL,1,0.0324144249124214,0.1080304900071198
NFLX,2022-12-05,2022-12-06,31.645999908447266,31.01307991027832,68.48495368872726,2167.274838163478,-43.34549676326948,-0.020000000000000018,SL,1,0.039389261339968,0.0851056793101505
NVDA,2022-12-06,2022-12-06,16.493352558842304,16.163485507665456,130.38501036010285,2150.4859442574825,-43.00971888514987,-0.02000000000000013,SL,0,0.0408376918655662,0.0782174699735933
TSLA,2022-12-07,2022-12-08,175.02999877929688,171.52939880371093,12.14673372688895,2126.0427893898172,-42.5208557877964,-0.020000000000000018,SL,1,0.0497441727875653,0.0711861116019521
NFLX,2022-12-07,2022-12-09,30.649999618530277,31.875999603271488,69.40775464103376,2127.3476532707277,85.09390613082911,0.040000000000000036,TP,2,0.0379584112530895,0.0719523120672709
NFLX,2022-12-12,2022-12-12,32.0,31.36,66.7456957293542,2135.8622633393343,-42.717245266786726,-0.020000000000000018,SL,0,0.0364497712870914,0.1207185855935533
META,2022-12-13,2022-12-13,121.06683205334556,118.64549541227865,17.57144197304691,2127.318814285977,-42.54637628571961,-0.020000000000000018,SL,0,0.0349764251792373,0.0545137808448259
NFLX,2022-12-13,2022-12-13,32.79999923706055,32.14399925231933,64.06920420399462,2101.4698490101,-42.029396980202215,-0.02000000000000013,SL,0,0.0381686854183858,0.120958814919011
NVDA,2022-12-13,2022-12-13,18.48991676619764,18.12011843087369,112.76646275353212,2085.0425103313355,-41.70085020662672,-0.020000000000000018,SL,0,0.0402065047518716,0.1082001432335209
NVDA,2022-12-14,2022-12-14,17.94712099776623,17.588178577810904,117.35018146266437,2106.097905820261,-42.12195811640543,-0.02000000000000013,SL,0,0.040273569691578,0.1558681392952903
BA,2022-12-14,2022-12-15,187.3300018310547,183.5834017944336,11.22117903723309,2102.0634895914673,-42.04126979182929,-0.020000000000000018,SL,1,0.0328190461497544,0.0673625203354775
META,2022-12-14,2022-12-15,118.35069422268502,115.98368033823132,17.757518560258795,2101.6146492788425,-42.03229298557681,-0.020000000000000018,SL,1,0.0365376804075092,0.0976610661225239
NFLX,2022-12-14,2022-12-15,31.89699935913086,31.25905937194824,65.97141792512778,2104.290275278755,-42.08580550557525,-0.020000000000000018,SL,1,0.0393153867330948,0.140162287558325
BA,2022-12-21,2022-12-22,190.0399932861328,186.23919342041015,10.884062815121776,2068.40722431159,-41.36814448623191,-0.020000000000000018,SL,1,0.032575130376038,0.0552597714234501
META,2022-12-22,2022-12-22,116.1797617130006,113.85616647874059,17.91517740364876,2081.3810418020457,-41.627620836040904,-0.020000000000000018,SL,0,0.0441656743387316,0.051171725695766
NKE,2022-12-22,2022-12-27,105.59298855495764,108.6141586303711,19.79746700683038,2090.473707069392,59.81151489002105,0.02861146480233412,TIME,5,0.0361769955534189,0.0687712804691802
BA,2022-12-23,2022-12-27,188.25,189.3999938964844,10.946405782982222,2060.6608886464032,12.588299838871132,0.006108865319970347,TIME,4,0.0336558574111292,0.0512061540941704
COP,2022-12-27,2022-12-28,104.63151451441652,102.5388842241282,19.695322907635656,2060.7514646764002,-41.21502929352793,-0.019999999999999907,SL,1,0.0348412349286282,0.0705349829319328
NKE,2022-12-30,2023-01-03,107.6902646023467,109.7136001586914,19.110780681370535,2058.0450283342084,38.66752206212249,0.01878847232677905,TIME,4,0.033574778226405,0.0529384685523148
META,2023-01-05,2023-01-09,125.03202218975812,130.03330307734845,16.521995698121636,2065.7785327466327,82.63114130986533,0.040000000000000036,TP,4,0.036911523975509,0.1125959637105185
NFLX,2023-01-05,2023-01-09,30.700000762939453,31.92800079345703,67.42150736441774,2069.8403275261526,82.79361310104606,0.040000000000000036,TP,4,0.0396745899625785,0.0732223401533671
NFLX,2023-01-10,2023-01-10,31.10700035095215,32.35128036499024,67.58775629919283,2102.45235891906,84.09809435676264,0.040000000000000036,TP,0,0.0352326805981901,0.0585054778220672
AMD,2023-01-10,2023-01-12,66.66999816894531,69.33679809570313,31.481379050141612,2098.8634836288147,83.95453934515277,0.040000000000000036,TP,2,0.0422155170458895,0.0529282370985457
NVDA,2023-01-12,2023-01-12,16.06430389569738,15.74301781778343,132.69919458063544,2131.720188457606,-42.63440376915217,-0.020000000000000018,SL,0,0.0465551479544401,0.1331349458157054
TSLA,2023-01-12,2023-01-12,122.55999755859376,120.10879760742189,17.371888431976608,2129.0986038112164,-42.58197207622428,-0.020000000000000018,SL,0,0.0790456090497104,0.1294225751060056
AMZN,2023-01-13,2023-01-13,94.18000030517578,97.94720031738282,22.573615176879176,2125.9830842474016,85.0393233698963,0.040000000000000036,TP,0,0.0339111434799277,0.1643851991983447
TSLA,2023-01-13,2023-01-13,116.5500030517578,121.21200317382811,17.809866905278053,2075.740042161557,83.02960168646226,0.040000000000000036,TP,0,0.0798455380125778,0.0962647374878369
NFLX,2023-01-11,2023-01-17,32.650001525878906,32.62200164794922,65.06498911424951,2124.371993861541,-1.8218117526954325,-0.0008575766193301693,TIME,6,0.0365538741233819,0.1104556989249954
