Ticker,Sector,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,PnL_$,PnL_%,Exit,Signal_Drop,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Distance_SMA50,Win,Drop_Abs,Drop_Group,ATR_Group,Volume_Group,SMA_Group,ATR_Pct_Group
ADBE,Technology,2025-12-09,2025-12-11,341.3999938964844,334.5719940185547,5.950912925401389,-40.63283272821095,-2.0000000000000018,SL,-2.0620384817959247,2.684259792393458,0.7681963152893183,1.1600985121850065,0.6548247854613276,False,2.0620384817959247,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
ADBE,Technology,2026-06-03,2026-06-05,259.3900146484375,254.20221435546875,7.801052298051871,-40.470301397298,-2.0000000000000018,SL,-4.349893617791356,4.034021220942707,1.0783021158165431,1.192902580032436,6.856486315198063,False,4.349893617791356,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
ADBE,Technology,2026-07-31,2026-08-03,244.72999572753903,254.51919555664065,8.235283965065056,80.61684038341768,4.000000000000004,TP,-5.895303955920673,5.345185243884486,1.102918549486304,1.1855183471433823,8.524631459477039,True,5.895303955920673,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2021-12-01,2021-12-02,160.3699951171875,157.16259521484375,12.47116082119062,-40.00000000000003,-2.0000000000000018,SL,-2.186405079892117,4.535040971444472,0.4821136332966177,1.1399495515559082,26.126911530509744,False,2.186405079892117,> -4%,< 0.5 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2021-12-06,2021-12-08,141.13999938964844,146.7855993652344,14.113646086256807,79.6800000000002,4.000000000000004,TP,-4.42659841595372,5.4009163084291405,0.8196013719089082,1.0083339389048462,12.355952357696845,True,4.42659841595372,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2021-12-07,2021-12-09,143.89999389648438,141.0219940185547,11.074357662213448,-31.87199999999994,-1.999999999999991,SL,-3.43725931328136,5.782706042876851,0.594403258231565,1.0201419856031448,7.933825506427827,False,3.43725931328136,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2021-12-17,2021-12-20,136.3000030517578,133.57400299072265,14.684971057850516,-40.03123200000014,-2.0000000000000018,SL,-5.365188129932808,6.072252177810552,0.8835581877739657,1.1270275886961816,2.817849092717184,False,5.365188129932808,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2022-01-05,2022-01-06,142.82000732421875,139.96360717773436,13.958515973706596,-39.87110707200021,-2.000000000000013,SL,-3.873806650308964,5.088826744246895,0.7612376771695842,1.510076875990511,1.042184225752929,False,3.873806650308964,> -4%,0.5 - 1 ATR,1.5 - 2x,> 20%,> 6%
AMD,Technology,2022-08-09,2022-08-10,97.9499969482422,95.99099700927734,20.271375130667973,-39.71162264371216,-2.000000000000013,SL,-2.1894222629481264,4.408341808290346,0.4966543789391942,1.0417239422778828,11.95215365254969,False,2.1894222629481264,> -4%,< 0.5 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2022-12-15,2022-12-16,67.5999984741211,66.24799850463867,29.255012607935868,-39.55277615313712,-2.0000000000000018,SL,-3.796233304643693,4.369858201036181,0.8687314622116409,1.078419869162366,4.083617710653908,False,3.796233304643693,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2023-01-25,2023-01-26,72.9000015258789,75.81600158691407,27.019591374452755,78.7891300970494,4.000000000000004,TP,-2.3912215604918408,4.221649181895132,0.566418822944071,1.2114262769474555,6.82140814842811,True,2.3912215604918408,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2023-02-06,2023-02-07,84.62999725341797,82.9373973083496,23.460783916845184,-39.70972156891297,-2.000000000000013,SL,-2.5138730405129373,4.492808115104594,0.5595326967251112,1.0582815855064056,21.416659193160623,False,2.5138730405129373,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2023-06-01,2023-06-06,117.29000091552734,121.98160095214844,16.86029600729641,79.10176536527436,4.000000000000004,TP,-5.635824816623813,4.536720049255498,1.2422685895173728,1.0718535812568557,21.88960227136836,True,5.635824816623813,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2023-06-08,2023-06-09,118.3000030517578,123.03200317382812,16.850079761475488,79.7345794881966,4.000000000000004,TP,-5.151735774723143,4.893854007165957,1.052695026696664,1.099821967973607,18.8274390205714,True,5.151735774723143,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2023-06-14,2023-06-15,126.52999877929688,123.99939880371092,15.880118726685074,-40.18622806205113,-2.0000000000000018,SL,-3.607093098572322,5.2351124535533,0.6890192198496196,1.6697075639781205,22.78207262387761,False,3.607093098572322,> -4%,0.5 - 1 ATR,1.5 - 2x,> 20%,> 6%
AMD,Technology,2023-06-16,2023-06-20,125.81999969482422,123.30359970092772,15.905850916739965,-40.025483149802845,-2.0000000000000018,SL,-2.4267681794154616,4.862132825841617,0.49911597776957,1.0683302009855709,21.084062316659647,False,2.4267681794154616,> -4%,< 0.5 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2023-06-20,2023-06-21,119.08999633789062,116.7081964111328,16.73750207536103,-39.86538121720378,-2.000000000000013,SL,-3.348354881071658,4.9633569233768124,0.6746149698203872,1.0187674887512028,16.40531812331403,False,3.348354881071658,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2023-06-22,2023-06-23,112.23999786376952,109.99519790649414,17.687954583056737,-39.7059196923348,-2.0000000000000018,SL,-5.734465380748355,5.11742337799221,1.1205766959618335,1.0237292505079525,7.778801205170094,False,5.734465380748355,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
AMD,Technology,2024-01-23,2024-01-24,166.5,173.16,11.876004808878522,79.09419202713092,4.000000000000004,TP,-3.4724233485138867,4.41448947070148,0.7865968129633131,1.6624261262531517,25.013003232026577,True,3.4724233485138867,> -4%,0.5 - 1 ATR,1.5 - 2x,> 20%,> 6%
AMD,Technology,2024-01-31,2024-02-02,165.74000549316406,172.36960571289063,12.025905472568049,79.72694556334808,4.000000000000004,TP,-3.244674246780166,4.666562983622994,0.695302786690578,1.341108533685856,21.50546302747625,True,3.244674246780166,> -4%,0.5 - 1 ATR,1.25 - 1.5x,> 20%,> 6%
