Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Margin,PnL,Return,Hold_Days
BAC,2023-03-24,2023-03-28,26.586700381278995,28.134060839653014,39.062595537652726,1038.5455236746589,-61.5126832179641,-0.059229645514541684,3
TSLA,2023-03-27,2023-03-29,194.32278816986084,193.97694488525389,5.307578894935446,1031.3835292953647,0.8051247842988407,0.0007806259858046185,3
MS,2023-03-27,2023-03-29,86.01696755981446,86.28311786270142,11.990466050528479,1031.3835292953647,-4.224245333484836,-0.0040957075748250665,3
AMD,2023-03-29,2023-03-31,96.02196469497682,98.0590071372986,10.714764826651365,1028.8527698996968,-22.866196696640756,-0.022224945459271096,3
NVDA,2023-03-29,2023-03-31,26.811588262557986,27.790888927459715,38.37343613606343,1028.8527698996968,-38.62677385827194,-0.03754353877283887,3
TSLA,2023-04-06,2023-04-11,182.98846183013916,186.88338828277588,5.534940825390319,1012.8303079590154,-22.581796836268012,-0.022295735681304073,3
AMD,2023-04-06,2023-04-11,91.42426622009278,94.07701377868652,11.078353153207157,1012.8303079590154,-30.415598625508824,-0.030030300620446683,3
TSLA,2023-04-13,2023-04-17,182.86852671051025,187.13351328277588,5.4942684351806985,1004.728774093555,-24.44942636511235,-0.024334354699028206,3
AMD,2023-04-14,2023-04-18,91.77408969497681,89.82488877868651,10.919803929360278,1002.1550652646704,20.293379205467147,0.020249739694832198,3
TSLA,2023-04-20,2023-04-24,166.08691316986085,162.6312780532837,6.044755914663119,1003.9548507316563,19.894960194520607,0.019816588544815213,3
TSLA,2023-04-25,2023-04-27,159.74009732055666,160.27009744262693,6.303137502955923,1006.8637981470296,-4.349197775962405,-0.004319549261743646,3
AMD,2023-04-26,2023-04-28,86.46674713516236,89.41468774795531,11.63347902810584,1005.9090894254422,-35.3178617871012,-0.03511039134488202,3
AMZN,2023-05-02,2023-05-04,101.41926622009278,104.05199999999999,9.867580574623947,1000.7627812460022,-26.992464842367077,-0.02697189118959844,3
TSLA,2023-05-04,2023-05-08,162.62865171051027,171.87588828277586,6.1329041315379405,997.3859299818332,-57.7381575170279,-0.05788948468330565,3
AMD,2023-05-04,2023-05-08,81.52921469497682,95.0875209159851,12.233478927931882,997.3859299818332,-166.94557200986094,-0.16738312321380125,3
TSLA,2023-05-17,2023-05-19,168.32579866027834,180.23006938934324,5.719780893098012,962.7866869925228,-69.08665185949509,-0.07175696630715006,3
